,RMSE,R²,MAE,Mean % Error
Linear Regression,6295.650997432088,0.0058904619105962785,4063.04628293061,117.57213178840911
Random Forest,5720.346154216719,0.17927517263057668,3201.7997527523394,89.95702317609289
XGBoost,6087.936509835075,0.07040628128320192,3693.8621991682694,99.84255891497853
